ix,iy,iz,gamma_dose_Sv_per_h,neutron_dose_Sv_per_h,total_dose_Sv_per_h,gamma_flux_cm2_s_per_primary,neutron_flux_cm2_s_per_primary
105,115,75,0,4.54224,4.54224,0,6.89628e-09
88,116,75,0,9.26224,9.26224,0,2.26696e-08
94,116,75,0,3.14051,3.14051,0,1.17743e-08
95,116,75,0.0572264,2.67472,2.73195,2.40012e-09,9.84137e-09
96,116,75,0.133461,139.118,139.252,6.98934e-09,2.70281e-07
99,116,75,0,20.6421,20.6421,0,1.34466e-08
101,116,75,0.709255,0,0.709255,2.53658e-07,0
111,116,75,0,0.236526,0.236526,0,7.80557e-09
104,117,75,0,48.1483,48.1483,0,6.4461e-08
110,117,75,0,1.10759,1.10759,0,3.70576e-08
111,117,75,0,0.0497436,0.0497436,0,1.67801e-09
90,119,75,0,16.734,16.734,0,2.51655e-08
86,121,75,0,0.648993,0.648993,0,1.49538e-08
83,122,75,0.242601,0,0.242601,2.87028e-08,0
111,122,75,0,1.25518,1.25518,0,3.55791e-08
112,122,75,0,0.45688,0.45688,0,1.59716e-08
90,123,75,0,26.3628,26.3628,0,2.31232e-08
111,123,75,0,1.97156,1.97156,0,5.1541e-08
90,124,75,0,74.5082,74.5082,0,7.17758e-08
91,124,75,0,8.41681,8.41681,0,6.06929e-09
111,124,75,0.232598,2.49522,2.72782,3.31845e-08,5.5656e-08
86,125,75,0,1.4357,1.4357,0,2.79577e-08
87,125,75,0,2.74436,2.74436,0,6.53259e-08
88,125,75,0,0.724956,0.724956,0,2.3339e-08
90,125,75,0,23.6387,23.6387,0,1.47764e-08
91,125,75,0,8.86041,8.86041,0,6.38116e-09
107,125,75,0,2.43795,2.43795,0,5.19908e-08
111,125,75,0,0.117507,0.117507,0,2.42957e-09
87,126,75,0,0.159373,0.159373,0,3.74353e-09
91,126,75,0.00577285,270.553,270.559,1.81386e-09,1.69119e-07
107,126,75,0,0.577538,0.577538,0,1.19051e-08
108,126,75,0,13.7089,13.7089,0,1.40905e-08
109,126,75,0,24.7491,24.7491,0,2.05562e-08
110,126,75,0.0026461,0,0.0026461,1.05387e-10,0
111,126,75,0,0.290409,0.290409,0,9.68469e-09
112,126,75,0,2.81397,2.81397,0,7.88648e-08
89,127,75,0,13.0057,13.0057,0,8.08936e-09
91,127,75,1.13477,0,1.13477,9.09735e-08,0
107,127,75,0,2.99551,2.99551,0,6.01125e-08
110,127,75,0,0.241544,0.241544,0,6.79665e-09
111,127,75,0.0888834,0.355268,0.444152,1.5735e-08,1.05271e-08
112,127,75,0.135153,0.577405,0.712557,3.56019e-08,1.79769e-08
89,128,75,0,29.3932,29.3932,0,1.82819e-08
104,128,75,2.87364,0,2.87364,6.30432e-08,0
112,128,75,0.0584741,0.311354,0.369828,4.25859e-09,6.91829e-09
87,129,75,0.0205793,0,0.0205793,6.50389e-09,0
91,129,75,0,23.0827,23.0827,0,1.43717e-08
86,130,75,0.233684,0,0.233684,5.6074e-09,0
87,130,75,0.0289786,0,0.0289786,8.53604e-09,0
104,130,75,0.326274,0,0.326274,5.09689e-08,0
110,130,75,0,2.16913,2.16913,0,6.40494e-08
111,130,75,0,1.18267,1.18267,0,3.03276e-08
113,130,75,0.223809,0,0.223809,2.2262e-08,0
86,131,75,0.0901935,0,0.0901935,1.49327e-08,0
91,131,75,0,25.3615,25.3615,0,2.78948e-08
104,131,75,0,3.92166,3.92166,0,1.70609e-08
109,131,75,0,0.277118,0.277118,0,2.63789e-09
110,131,75,0,1.41623,1.41623,0,2.01207e-08
111,131,75,0,0.968832,0.968832,0,2.6555e-08
113,131,75,0.151445,0,0.151445,3.78989e-08,0
91,132,75,0,48.6337,48.6337,0,1.32695e-07
92,132,75,0,1.74869,1.74869,0,4.85162e-09
104,132,75,0.37159,0,0.37159,1.00848e-08,0
105,132,75,0,1.79844,1.79844,0,7.84776e-09
106,132,75,0.113128,0,0.113128,3.29345e-09,0
109,132,75,0,11.0796,11.0796,0,8.62237e-08
113,132,75,0.692251,0,0.692251,3.24529e-08,0
86,133,75,0.496131,0,0.496131,4.61031e-08,0
91,133,75,0,3.59079,3.59079,0,9.73749e-09
92,133,75,0,1.78333,1.78333,0,4.94772e-09
101,133,75,0.221142,1.00897,1.23011,5.74326e-09,6.23306e-09
104,133,75,0.0121537,0,0.0121537,4.98506e-10,0
105,133,75,0,1.69448,1.69448,0,7.59314e-09
106,133,75,8.43481e-05,1.29997,1.30005,2.02399e-12,6.56533e-09
85,134,75,0,0.434606,0.434606,0,1.00134e-08
86,134,75,0,0.880995,0.880995,0,2.24465e-08
106,134,75,0,4.61581,4.61581,0,2.34649e-08
85,135,75,0.99102,3.16056,4.15158,2.73401e-08,7.97817e-08
86,135,75,0,2.5099,2.5099,0,5.77729e-08
86,136,75,0,0.0522745,0.0522745,0,2.01094e-09
94,137,75,0,0.414345,0.414345,0,5.52518e-09
95,137,75,0,1.28489,1.28489,0,2.95394e-08
95,138,75,0,0.621064,0.621064,0,1.3546e-08
96,138,75,6.98414,0.711367,7.69551,2.01192e-07,1.62807e-08
90,139,75,0.484028,0,0.484028,2.78501e-08,0
102,113,76,0,20.8142,20.8142,0,1.29835e-08
103,114,76,0,4.12219,4.12219,0,5.6075e-09
104,114,76,0,13.1719,13.1719,0,1.95004e-08
105,114,76,0,7.92978,7.92978,0,1.11826e-08
83,115,76,0.0861824,0,0.0861824,1.92126e-08,0
89,115,76,0,2.41732,2.41732,0,5.8738e-09
94,115,76,0,1.77528,1.77528,0,6.73245e-09
104,115,76,0,5.38383,5.38383,0,8.13954e-09
106,115,76,0,28.7192,28.7192,0,1.83791e-08
94,116,76,0,67.7192,67.7192,0,2.56959e-07
98,116,76,0,127.426,127.426,0,1.5954e-07
102,116,76,0,440.574,440.574,0,3.98142e-07
104,116,76,0.0187974,0,0.0187974,4.24306e-09,0
106,116,76,0,19.7153,19.7153,0,1.26098e-08
110,117,76,0,0.988765,0.988765,0,2.75111e-08
111,117,76,0,0.217972,0.217972,0,7.35198e-09
88,118,76,0,8.59636,8.59636,0,1.40597e-08
110,118,76,0,0.0220224,0.0220224,0,7.37814e-10
111,118,76,0,0.248128,0.248128,0,4.99963e-09
91,119,76,0,170.171,170.171,0,2.31348e-07
